Time (sec)," ""R1 R1"""," ""R2 R1"""," ""R3 R1"""," ""R4 R1"""," ""R5 R1"""," ""R6 R1"""," ""R7 R1"""," ""R8 R1"""," ""R9 R1"""," ""R10 R1"""," ""R11 R1"""," ""R12 R1"""," ""R13 R1"""," ""R14 R1"""," ""R15 R1"""," ""R16 R1"""," ""R17 R1"""," ""R18 R1"""," ""R19 R1"""," ""R20 R1"""," ""R21 R1"""," ""R22 R1"""," ""R23 R1"""," ""R24 R1"""," ""R25 R1"""," ""R26 R1"""," ""R27 R1""",LED 5 s,LED 10 s,LED 2.5 s,LED 1 s,,
72.94,0.22725,0.224092,0.222289,0.234517,0.183965,0.192389,0.184747,0.180108,0.170466,0.189897,0.185173,0.216918,0.206025,0.210607,0.191144,0.202854,0.195143,0.204804,0.185185,0.18865,0.19086,0.191896,0.200186,0.211918,0.174499,0.195891,0.194307,0,0,0,0,,
74.94,0.22677,0.227682,0.223342,0.237447,0.184924,0.192159,0.184735,0.182394,0.170082,0.191432,0.18582,0.218338,0.205868,0.21128,0.192952,0.201647,0.197165,0.20385,0.188482,0.18983,0.193071,0.192185,0.200792,0.211568,0.176268,0.197609,0.192684,0,0,0,0,,
76.94,0.225998,0.224684,0.224027,0.2337,0.183803,0.191166,0.184915,0.180729,0.170332,0.190512,0.185012,0.21642,0.206091,0.212069,0.191523,0.202497,0.195729,0.205352,0.188111,0.189025,0.190695,0.192107,0.199246,0.21155,0.174208,0.195489,0.191518,0,0,0,0,,
78.94,0.227132,0.226151,0.223356,0.23457,0.185309,0.190251,0.182934,0.180196,0.169801,0.191372,0.185181,0.217556,0.205148,0.211401,0.191804,0.201842,0.196772,0.204377,0.188124,0.188768,0.194571,0.191921,0.198961,0.211782,0.173818,0.197633,0.191045,0,0,0,0,,
80.94,0.226336,0.225698,0.22361,0.237712,0.18571,0.190519,0.18409,0.182,0.170022,0.190522,0.186392,0.217826,0.206931,0.211579,0.191929,0.201561,0.198846,0.204958,0.188758,0.189089,0.191949,0.189634,0.199276,0.21204,0.175519,0.195899,0.189277,0,0,0,0,,
82.94,0.224152,0.224635,0.224459,0.237172,0.183677,0.191819,0.184603,0.180032,0.171155,0.189881,0.185946,0.219764,0.20404,0.212179,0.191624,0.202789,0.197437,0.203493,0.189079,0.189157,0.192901,0.191043,0.198127,0.211375,0.175042,0.195855,0.190345,0,0,0,0,,
84.94,0.225959,0.230129,0.221769,0.234852,0.185199,0.189919,0.184097,0.182462,0.170385,0.191276,0.186888,0.218429,0.203549,0.210185,0.192256,0.201649,0.19973,0.203421,0.188064,0.188934,0.190561,0.190956,0.195712,0.211054,0.173697,0.195943,0.190278,0,0,0,0,,
86.94,0.227916,0.226397,0.224595,0.234051,0.185967,0.190712,0.184802,0.181301,0.168647,0.190742,0.184799,0.217083,0.202197,0.212105,0.191918,0.202446,0.199614,0.204028,0.186967,0.191313,0.190471,0.192077,0.195886,0.212291,0.175694,0.195309,0.189407,0,0,0,0,,
88.94,0.223056,0.223772,0.219642,0.23327,0.181535,0.188202,0.182877,0.17902,0.167605,0.187813,0.182768,0.214398,0.200076,0.207895,0.189544,0.200219,0.196418,0.200609,0.18391,0.18849,0.187863,0.189103,0.193421,0.208908,0.172056,0.193512,0.186629,0,0,0,0,,
91,0.22391,0.226441,0.221601,0.233725,0.183512,0.189162,0.18189,0.179563,0.167483,0.189021,0.184966,0.214589,0.203194,0.212059,0.188524,0.200716,0.198465,0.202878,0.185391,0.187676,0.188684,0.189421,0.193972,0.210292,0.17235,0.194817,0.187402,0,0,0,0,,
93,0.223957,0.224349,0.220941,0.233585,0.183439,0.188499,0.183752,0.177256,0.16751,0.188462,0.184937,0.213961,0.200714,0.21142,0.189406,0.200916,0.197077,0.201571,0.185104,0.187214,0.187993,0.188729,0.194349,0.210395,0.172805,0.193758,0.189455,0,0,0,0,,
95,0.222903,0.224298,0.220492,0.230954,0.182958,0.188299,0.181106,0.17954,0.166883,0.187822,0.183323,0.213932,0.198893,0.209968,0.18928,0.197697,0.196436,0.199972,0.183093,0.188011,0.186988,0.188215,0.192892,0.211132,0.173048,0.195276,0.188989,0,0,0,0,,
97,0.221494,0.222983,0.22104,0.230168,0.182928,0.18939,0.181827,0.177478,0.16708,0.188665,0.184402,0.213351,0.199366,0.209487,0.189053,0.19874,0.19707,0.202254,0.184098,0.187665,0.18831,0.189676,0.192401,0.211687,0.17096,0.194976,0.192068,0,0,0,0,,
99,0.2235,0.221874,0.217028,0.232949,0.183315,0.187422,0.181439,0.1788,0.167056,0.188886,0.182473,0.2146,0.199628,0.209407,0.18769,0.196898,0.196135,0.20154,0.183217,0.187098,0.188014,0.189676,0.193829,0.211666,0.172735,0.198179,0.192096,0,0,0,0,,
101,0.223927,0.224689,0.221079,0.231392,0.182686,0.191273,0.181314,0.179379,0.164724,0.189115,0.184348,0.215007,0.199623,0.211701,0.189013,0.198382,0.198833,0.201263,0.183151,0.187452,0.188387,0.18692,0.193256,0.21287,0.172243,0.198113,0.192848,0,0,0,0,,
103,0.22506,0.224897,0.217877,0.230727,0.181937,0.189156,0.183984,0.178267,0.166682,0.187416,0.18419,0.214649,0.199257,0.208643,0.187682,0.196557,0.199128,0.200312,0.181661,0.186298,0.187653,0.189044,0.192699,0.212638,0.172151,0.198457,0.194373,0,0,0,0,,
105,0.223145,0.223485,0.219566,0.231549,0.184156,0.188645,0.181767,0.178005,0.166805,0.189046,0.184114,0.212284,0.199084,0.208388,0.188371,0.19825,0.198561,0.19951,0.182356,0.185425,0.185955,0.187629,0.192047,0.212477,0.171732,0.197501,0.192771,0,0,0,0,,
107,0.222359,0.220847,0.21914,0.232197,0.183228,0.187706,0.182087,0.178333,0.165812,0.187897,0.183836,0.214246,0.198058,0.210666,0.188344,0.197817,0.197378,0.199175,0.182299,0.185558,0.184209,0.188073,0.192354,0.213721,0.171739,0.199558,0.192174,0,0,0,0,,
109,0.225565,0.223049,0.221276,0.23207,0.183835,0.190386,0.182276,0.179058,0.167325,0.187909,0.185812,0.215682,0.200129,0.21249,0.190404,0.199047,0.200588,0.201322,0.183558,0.186293,0.184196,0.189121,0.193304,0.212794,0.174262,0.197589,0.194159,0,0,0,0,,
111,0.223053,0.221938,0.220429,0.232666,0.18309,0.19044,0.181483,0.179049,0.168282,0.188356,0.183758,0.214924,0.197404,0.209372,0.18946,0.196639,0.200089,0.200545,0.183739,0.187865,0.184198,0.187676,0.193794,0.213616,0.171953,0.19667,0.19262,0,0,0,0,,
113,0.224702,0.223686,0.218775,0.233316,0.182086,0.189004,0.183256,0.178339,0.168961,0.186427,0.182743,0.214228,0.196354,0.207959,0.188546,0.197292,0.198438,0.197936,0.1818,0.18655,0.182792,0.186174,0.192933,0.211335,0.171704,0.195791,0.192219,0,0,0,0,,
115,0.223406,0.222111,0.217506,0.231142,0.182424,0.188873,0.182566,0.177975,0.168339,0.188777,0.183108,0.212945,0.198215,0.209924,0.18887,0.197615,0.19929,0.200483,0.181351,0.185645,0.183919,0.185975,0.192415,0.212229,0.173337,0.195716,0.19304,0,0,0,0,,
117,0.221416,0.22343,0.217618,0.230697,0.182533,0.187762,0.181814,0.177287,0.167355,0.18802,0.184037,0.214629,0.197974,0.209755,0.188436,0.197472,0.201494,0.200752,0.182239,0.186821,0.183465,0.186932,0.192533,0.213484,0.172726,0.197507,0.192572,0,0,0,0,,
119.02,0.2219,0.2217,0.220281,0.232504,0.184321,0.189882,0.181379,0.179119,0.16902,0.189662,0.183709,0.215824,0.199824,0.212865,0.188735,0.197733,0.200809,0.199984,0.182579,0.187861,0.183301,0.187149,0.191793,0.215605,0.172654,0.196101,0.191177,1,0,0,0,120.64," ""LED 5 s"""
121.02,0.224296,0.223978,0.220525,0.23071,0.184188,0.188321,0.182322,0.179057,0.168571,0.188673,0.184125,0.214839,0.200523,0.21023,0.189277,0.197989,0.200093,0.201161,0.182904,0.185697,0.185214,0.186918,0.192752,0.215547,0.173108,0.196269,0.190507,0,0,0,0,,
130.48,0.229332,0.231532,0.223737,0.238558,0.190445,0.197153,0.186762,0.183952,0.17292,0.193989,0.192515,0.239852,0.244884,0.245913,0.216904,0.240059,0.23844,0.227949,0.220504,0.205877,0.222947,0.222323,0.244651,0.247289,0.22431,0.232872,0.228042,0,0,0,0,,
132.48,0.228043,0.229233,0.222226,0.239201,0.190241,0.197059,0.185693,0.182117,0.170414,0.192249,0.193107,0.238291,0.241668,0.242307,0.220696,0.232933,0.239203,0.223095,0.216486,0.204929,0.218953,0.220513,0.239452,0.243421,0.218019,0.224679,0.217189,0,0,0,0,,
134.48,0.227544,0.229729,0.224037,0.237216,0.190483,0.200114,0.186707,0.181038,0.171576,0.191713,0.191184,0.236995,0.237716,0.240923,0.218195,0.228364,0.235413,0.219402,0.209868,0.20442,0.215305,0.213342,0.234322,0.241903,0.210371,0.217917,0.210741,0,0,0,0,,
136.48,0.226617,0.229287,0.221017,0.235037,0.190539,0.196908,0.185567,0.181268,0.170454,0.192394,0.193102,0.234004,0.234956,0.237489,0.214086,0.229568,0.236989,0.216324,0.209133,0.202407,0.212769,0.210071,0.232864,0.241296,0.202703,0.213568,0.203454,0,0,0,0,,
138.48,0.224926,0.22961,0.22047,0.234249,0.19088,0.196902,0.184513,0.18053,0.169092,0.19037,0.193193,0.231799,0.234461,0.233771,0.208235,0.225584,0.23496,0.212956,0.204636,0.202328,0.212572,0.207105,0.22946,0.241049,0.195549,0.208902,0.199421,0,0,0,0,,
